Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
295902,WINN DIXIE 0081,580 S Marion Ave,,Lake City,FL,32025,5802,COLUMBIA,Supermarket,30.18224,-82.637001,,,-9199108.872003239,3526996.6709754793
274163,PUBLIX 0284,2040 58th Ave,,Vero Beach,FL,32966,4646,INDIAN RIVER,Supermarket,27.640594,-80.44648,,,-8955261.189711265,3203736.0186322047
274178,Best Food Market,685 S Goldwyn Ave,,Orlando,FL,32805,2901,ORANGE,Convenience Store,28.533232,-81.417923,,,-9063401.729805958,3316370.010138186
380153,PUBLIX  0051,1500 S Douglas Rd,,Coral Gables,FL,33134,4108,MIAMI DADE,Supermarket,25.758017,-80.254929,,,-8933937.829930324,2969141.0497825337
294844,DOLLAR GENERAL 4880,655 E Base St,,Madison,FL,32340,2705,MADISON,Other,30.469309,-83.40567,,,-9284676.713671815,3564018.9107173393
382558,CIRCLE K 2707424,1117 E Main St,,Immokalee,FL,34142,3835,COLLIER,Convenience Store,26.415419,-81.405273,,,-9061993.538247421,3050624.0061375215
334550,Sedano's 34,17171 Pines Blvd,,Pembroke Pines,FL,33027,1001,BROWARD,Supermarket,26.007788,-80.376038,,,-8947419.622140806,3000045.5525927474
382714,Winn Dixie 577,1030 US Highway 331 S,Ste G,Defuniak Springs,FL,32435,3391,WALTON,Supermarket,30.707541,-86.122917,,,-9587159.266071364,3594825.736685503
334697,CVS Pharmacy 3616,13400 S Cleveland Ave,,Fort Myers,FL,33907,3833,LEE,Other,26.547119,-81.871681,,,-9113913.839309331,3067003.3004554305
333793,Walmart NEIGHBORHOOD MKT 5132,5216 Red Bug Lake Rd,,Winter Springs,FL,32708,4912,SEMINOLE,Super Store,28.64768,-81.278191,,,-9047846.83471843,3330879.562183299
296151,Whiting field NAS Commissary 547,7180 USS Wasp St,Bldg 3060,Milton,FL,32570,6161,SANTA ROSA,Supermarket,30.713827,-87.019051,,,-9686916.446633903,3595639.6344203167
296166,MOBLEY CUSTOM CUT,6769 180th St,,McAlpin,FL,32062,2852,SUWANNEE,Specialty Store,30.12056,-82.885857,,,-9226811.39520409,3519056.1396049964
272825,PUBLIX  0830,4501 Hoffner Ave,,Orlando,FL,32812,2305,ORANGE,Supermarket,28.48056,-81.32888,,,-9053489.50838725,3309697.627797087
272888,THE HAROLD STORE,10535 Highway 90,,Milton,FL,32583,8210,SANTA ROSA,Convenience Store,30.6588,-86.880539,,,-9671497.361325145,3588516.655612832
295302,B & R MARKET INC,13002 N 15th St,,Tampa,FL,33612,4531,HILLSBOROUGH,Convenience Store,28.064751,-82.442886,,,-9177500.089047901,3257139.8647932513
331716,CVS Pharmacy 3216,5825 20th St,,Vero Beach,FL,32966,1018,INDIAN RIVER,Other,27.638727,-80.44722,,,-8955343.566134455,3203501.4125198564
380550,PUBLIX 504,4701 Sunray Dr,,Holiday,FL,34690,3808,PASCO,Supermarket,28.19821,-82.736122,,,-9210142.971250158,3273986.5971801262
295420,PUBLIX 0778,13435 SOUTH MCCALL RD,,PORT CHARLOTTE,FL,33981,    ,CHARLOTTE,Supermarket,26.933186,-82.225548,,,-9153306.133557875,3115126.699785549
296732,CIRCLE K 2702375,102525 Overseas Hwy,,Key Largo,FL,33037,4681,MONROE,Convenience Store,25.125963,-80.412018,,,-8951424.897419548,2891224.289134177
296858,MEATLAND OF TAMPA INC,5150 N 22nd St,,Tampa,FL,33610,5057,HILLSBOROUGH,Grocery Store,27.994043,-82.435097,,,-9176633.021534113,3248222.768996415
296910,DOLLAR GENERAL  4881,7101 US 98,,Panama City Beach,FL,32407,4865,BAY,Other,30.187893,-85.749252,,,-9545563.068544095,3527724.6728286725
297098,PUBLIX  0862,2840 David Walker Dr,,Eustis,FL,32726,6172,LAKE,Supermarket,28.825022,-81.701813,,,-9095004.22004726,3353394.0508206342
297134,Publix 1471,12022 Indian Rocks Rd,,Largo,FL,33774,3215,PINELLAS,Supermarket,27.88228,-82.83242,,,-9220862.81557457,3234140.081569821
