Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
1396763,Flagler Fresh Market Llc,1863 W Flagler St,,Miami,FL,33135,1939,MIAMI DADE,Convenience Store,25.772919,-80.226151,,,-8930734.277624276,2970983.064221325
1397763,7-Eleven Store 37579H,10698 SW 24th St,,Miami,FL,33165,7917,MIAMI DADE,Convenience Store,25.746372,-80.3675,,,-8946469.176328415,2967701.7892545173
1398411,Target Store T3350,1906 Ponce de Leon Blvd,,Coral Gables,FL,33134,4413,MIAMI DADE,Super Store,25.754841,-80.259216,,,-8934415.056587355,2968748.49895292
1398521,Mini Market Latino Llc,305 SW 12th Ave,,Miami,FL,33130,2011,MIAMI DADE,Convenience Store,25.770473,-80.214493,,,-8929436.515000608,2970680.701872036
1398721,Havana Vape & Smoke,1961 W 60th St,,Hialeah,FL,33012,7504,MIAMI DADE,Convenience Store,25.877798,-80.322433,,,-8941452.340836834,2983953.557863693
1400563,7-Eleven Store 38187H,3298 NW 79th St,,Miami,FL,33147,4600,MIAMI DADE,Convenience Store,25.84557,-80.251915,,,-8933602.312985072,2979966.664630824
1402903,Ernesto's Seafood Inc,2800 NW 112th Ave,,Doral,FL,33172,1809,MIAMI DADE,Specialty Store,25.799543,-80.378136,,,-8947653.170432491,2974274.5939250863
1403538,Four Star Of Homestead Llc,719 SW 8th Ave,,Homestead,FL,33030,6951,MIAMI DADE,Convenience Store,25.462961,-80.487381,,,-8959814.268204203,2932716.9716823553
1404966,Don P Food Group 6906 Inc /Bravo Supermarket,11247 Sw 152nd St,,Miami,FL,33157,1101,MIAMI DADE,Supermarket,25.627779,-80.375641,,,-8947375.428302962,2953052.338881612
1406410,Dollar Tree 7603,1555 W 29th St,,Hialeah,FL,33012,5516,MIAMI DADE,Other,25.848064,-80.313286,,,-8940434.101454549,2980275.1560463416
1406608,Mas Barata Supermarket,4215 W 16th Ave,,Hialeah,FL,33012,7631,MIAMI DADE,Grocery Store,25.860006,-80.314133,,,-8940528.389063248,2981752.393159665
1411434,Dollar Tree 8466,24495 SW 112th Ave,,Homestead,FL,33032,4507,MIAMI DADE,Other,25.53957,-80.372002,,,-8946970.336675964,2942165.569824747
1413879,Tobacco 305,710 Palm Ave,,Hialeah,FL,33010,4318,MIAMI DADE,Convenience Store,25.828245,-80.281616,,,-8936908.613181124,2977823.8554364117
1415146,7-eleven #35022B,1099 SW 1st Ave,,Miami,FL,33130,4133,MIAMI DADE,Convenience Store,25.763689,-80.19503,,,-8927269.903751299,2969842.130155333
1416850,7-Eleven Store 38188H,4596 NW 22nd Ave,,Miami,FL,33142,4709,MIAMI DADE,Convenience Store,25.816587,-80.232697,,,-8931462.975011008,2976382.134726966
1417411,Riviera Supermarket,1710 NW 17th Ave,,Miami,FL,33125,2329,MIAMI DADE,Grocery Store,25.791309,-80.223419,,,-8930430.15277543,2973256.544154102
